Date,SPY,VTI,XLK
2024-08-09,,,
2024-08-12,0.0005256762835823547,-0.000646747638859746,0.00817003352739687
2024-08-13,0.016445347381702113,0.016631735848901208,0.03072687345464087
2024-08-14,0.003154979444295325,0.0028452213254006598,0.00547560098344535
2024-08-15,0.017140298470145865,0.017321182992014572,0.028764192331155236
2024-08-16,0.0022418929285792366,0.002385154331213668,0.0016738433426932708
2024-08-19,0.009561552942996876,0.009444815790107919,0.016486116041849908
2024-08-20,-0.001626239984522715,-0.002429855521346669,-0.0035103027933122144
2024-08-21,0.0034365165777914264,0.005016732743238217,0.005885980224964449
2024-08-22,-0.007848590672914879,-0.00846420532616221,-0.023007387007633273
2024-08-23,0.010625488418062101,0.01265882736078483,0.016198613690505015
2024-08-26,-0.0023837378161030154,-0.0025216531443550405,-0.012546920354999713
2024-08-27,0.0013730097144293296,0.0009028113077478306,0.006059344632633357
2024-08-28,-0.005805391940985616,-0.006098043847738155,-0.013798397175134758
2024-08-29,8.97654343972043e-05,0.000980250340338218,-0.009023895910462043
2024-08-30,0.009545935025619512,0.009647383708285107,0.01329112314155756
2024-09-03,-0.02057912097947301,-0.021517301784987786,-0.04593110049034632
2024-09-04,-0.002046786636764386,-0.002239447226258351,-0.0025688500113321133
2024-09-05,-0.0024319970640614974,-0.0030906722297402434,-0.0015262427806825851
2024-09-06,-0.01683026882624139,-0.016608846368684538,-0.025937425925096957
2024-09-09,0.011196148917254733,0.010696547715589366,0.016378843749887073
2024-09-10,0.004355679194286477,0.0038990053501557487,0.014957111634875675
2024-09-11,0.010259028419067118,0.009950517261330116,0.03413204165394346
2024-09-12,0.008423326639449114,0.008314105539642513,0.008274309314812989
2024-09-13,0.005222690519001816,0.006974292779719615,0.005015112088620155
2024-09-16,0.0014770147347420437,0.0019838876034901087,-0.00381056949875902
2024-09-17,0.00040853615490066275,0.0010081190361674874,-0.0019581526635675806
2024-09-18,-0.0029659180078688285,-0.002517592631811505,-0.009125388128142009
2024-09-19,0.017064500416904105,0.016946198114117017,0.029700243487877254
2024-09-20,-0.0017285989290088954,-0.0020919493267798073,-0.004874330060443577
2024-09-23,0.002498731282417843,0.0024870911993477574,-0.00018454484874774746
2024-09-24,0.0028613824113929986,0.0025161967567703947,0.006843989940069406
2024-09-25,-0.0022055585294177282,-0.0032877173389225245,0.0028622037466865535
2024-09-26,0.0039646879611712205,0.004469164595243713,0.013244149956751494
2024-09-27,-0.0014503284310876108,-0.0009882437847008596,-0.009330176771000342
2024-09-30,0.004007267241452839,0.003935361692396722,0.002931962726772319
2024-10-01,-0.008958353085511184,-0.009111436342487789,-0.024362138877770945
2024-10-02,0.00042199866585579393,0.00021383972454547262,0.007400425127398025
2024-10-03,-0.0018281783130682516,-0.0021379400689389705,0.004146159572093078
2024-10-04,0.00908732772544707,0.009677216664298882,0.011130560160852898
2024-10-07,-0.009040435633693833,-0.009124756631014641,-0.006879996079037332
2024-10-08,0.009457525224118024,0.008423448121874566,0.018682380207113436
2024-10-09,0.006926460342515872,0.006972775982447166,0.011188108112618167
2024-10-10,-0.001750072372617817,-0.0020737301232778282,-0.00026024689718295857
2024-10-11,0.005988159057053188,0.0077487153765474215,0.0017359412454340806
2024-10-14,0.00817843597470147,0.007794257033303165,0.013041149533690843
2024-10-15,-0.007769646579291134,-0.006866796376739148,-0.021982846006609158
2024-10-16,0.004346386057136886,0.005098405017199825,0.0031048898561480964
2024-10-17,8.590828063770317e-05,-0.00020835360926585444,0.003051488953854653
2024-10-18,0.003846498475100324,0.0039268811285566585,0.0035638256994696693
2024-10-21,-0.0016421977480930439,-0.003149889691458241,0.0046772446178213745
2024-10-22,-0.0005311642017283846,-0.0011460569914559793,-0.0010346296513712439
2024-10-23,-0.00913745770448493,-0.009038741211918278,-0.014325777432698472
2024-10-24,0.0021627630841249967,0.0026661610092275634,0.002933128575818289
2024-10-25,-0.00034534209873338106,-0.0009447240472055807,0.005194158048227093
2024-10-28,0.0030913848076141726,0.004062528599476201,-0.0003039363891238489
2024-10-29,0.0016183570780052836,0.0013254084705542901,0.013465398005933382
2024-10-30,-0.0030252014700733465,-0.002473089493013947,-0.015900945682805978
2024-10-31,-0.019603028008119194,-0.01864715400751049,-0.032097868281774744
2024-11-01,0.0042203797702589085,0.004269945657430219,0.007514391992156533
2024-11-04,-0.0021539152331595535,-0.0018071748477423988,-0.0007592317027214079
2024-11-05,0.012091745860886238,0.012707692445686813,0.014078838176264652
2024-11-06,0.02486561056617531,0.0279705935851311,0.028472010057723818
2024-11-07,0.007732173946760845,0.00698986064094731,0.017441570069911316
2024-11-08,0.0043318207817757415,0.004672881593272837,-0.0010951333292854581
2024-11-11,0.0009527419007668847,0.002797252330273281,-0.0055236375266695115
2024-11-12,-0.003106350872676633,-0.003932240394145858,0.001271876883878198
2024-11-13,0.0004858121588244835,-0.0004722718114555935,-0.0034723072328195492
2024-11-14,-0.006430197458394571,-0.0073929544572908235,-0.0033994921713276227
2024-11-15,-0.012808648464564198,-0.012685430132510556,-0.02481551090730827
2024-11-18,0.004097417095878075,0.0040646691278443114,0.0032354393494762324
2024-11-19,0.003655532545175033,0.0045970048583436895,0.008193548693258279
2024-11-20,0.000338767316948152,0.0005805860119707518,-0.0008644855863271239
2024-11-21,0.005368259133708753,0.006996540276409835,0.010167357006716449
2024-11-22,0.0030994658952385734,0.004948452703783746,0.0005139806682838977
2024-11-25,0.003392174122915037,0.004890101078925513,-4.2869898785657945e-05
2024-11-26,0.005221484712537361,0.0036582090341039653,0.00500877130784394
2024-11-27,-0.003030113127437173,-0.0028422422614281517,-0.01354566905919874
